queries,method,correct,error
20,Passive,False,1
20,Active,False,1
30,Passive,False,1
30,Active,False,1
40,Passive,False,1
40,Active,False,1
50,Passive,False,1
50,Active,True,0
60,Passive,False,1
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,False,1
20,Active,False,1
30,Passive,False,1
30,Active,False,1
40,Passive,False,1
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,False,1
20,Active,False,1
30,Passive,False,1
30,Active,False,1
40,Passive,False,1
40,Active,True,0
50,Passive,False,1
50,Active,False,1
60,Passive,False,1
60,Active,False,1
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,False,1
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,False,1
20,Active,False,1
30,Passive,False,1
30,Active,False,1
40,Passive,False,1
40,Active,False,1
50,Passive,False,1
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,False,1
20,Active,False,1
30,Passive,False,1
30,Active,True,0
40,Passive,False,1
40,Active,True,0
50,Passive,True,0
50,Active,False,1
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,False,1
80,Active,True,0
90,Passive,False,1
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,False,1
20,Active,False,1
30,Passive,False,1
30,Active,True,0
40,Passive,False,1
40,Active,True,0
50,Passive,False,1
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,False,1
70,Active,False,1
80,Passive,False,1
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,False,1
20,Active,False,1
30,Passive,False,1
30,Active,False,1
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,False,1
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,False,1
20,Active,False,1
30,Passive,False,1
30,Active,False,1
40,Passive,False,1
40,Active,False,1
50,Passive,False,1
50,Active,True,0
60,Passive,False,1
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,False,1
20,Active,True,0
30,Passive,False,1
30,Active,False,1
40,Passive,False,1
40,Active,True,0
50,Passive,False,1
50,Active,True,0
60,Passive,False,1
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,False,1
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,False,1
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,False,1
20,Active,False,1
30,Passive,False,1
30,Active,False,1
40,Passive,False,1
40,Active,True,0
50,Passive,False,1
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,False,1
20,Active,False,1
30,Passive,False,1
30,Active,False,1
40,Passive,False,1
40,Active,False,1
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,False,1
70,Passive,False,1
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,False,1
20,Active,False,1
30,Passive,False,1
30,Active,False,1
40,Passive,False,1
40,Active,False,1
50,Passive,False,1
50,Active,True,0
60,Passive,False,1
60,Active,True,0
70,Passive,False,1
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,False,1
20,Active,False,1
30,Passive,False,1
30,Active,False,1
40,Passive,False,1
40,Active,False,1
50,Passive,False,1
50,Active,True,0
60,Passive,False,1
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,False,1
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,False,1
20,Active,False,1
30,Passive,False,1
30,Active,False,1
40,Passive,True,0
40,Active,True,0
50,Passive,False,1
50,Active,True,0
60,Passive,True,0
60,Active,False,1
70,Passive,False,1
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,False,1
20,Active,False,1
30,Passive,False,1
30,Active,False,1
40,Passive,True,0
40,Active,True,0
50,Passive,False,1
50,Active,False,1
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,False,1
20,Active,False,1
30,Passive,False,1
30,Active,False,1
40,Passive,False,1
40,Active,False,1
50,Passive,True,0
50,Active,True,0
60,Passive,False,1
60,Active,True,0
70,Passive,False,1
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,False,1
20,Active,False,1
30,Passive,False,1
30,Active,False,1
40,Passive,False,1
40,Active,True,0
50,Passive,False,1
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,False,1
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,False,1
20,Active,False,1
30,Passive,False,1
30,Active,False,1
40,Passive,False,1
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,False,1
60,Active,False,1
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,False,1
20,Active,False,1
30,Passive,False,1
30,Active,False,1
40,Passive,False,1
40,Active,False,1
50,Passive,False,1
50,Active,False,1
60,Passive,False,1
60,Active,False,1
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,False,1
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,False,1
20,Active,False,1
30,Passive,False,1
30,Active,False,1
40,Passive,False,1
40,Active,False,1
50,Passive,False,1
50,Active,False,1
60,Passive,False,1
60,Active,True,0
70,Passive,False,1
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
90,Active,True,0
100,Passive,True,0
100,Active,True,0
110,Passive,True,0
110,Active,True,0
120,Passive,True,0
120,Active,True,0
130,Passive,True,0
130,Active,True,0
140,Passive,True,0
140,Active,True,0
150,Passive,True,0
150,Active,True,0
20,Passive,True,0
20,Active,True,0
30,Passive,True,0
30,Active,True,0
40,Passive,True,0
40,Active,True,0
50,Passive,True,0
50,Active,True,0
60,Passive,True,0
60,Active,True,0
70,Passive,True,0
70,Active,True,0
80,Passive,True,0
80,Active,True,0
90,Passive,True,0
